name,mode,coefficient_present,coefficient_frobenius_upper,residual_frobenius_upper,coefficient_sha256,precision_bits
alpha^16,-3,True,0.00020393430186653228,6.364644792635512e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-2,True,5941.115972611938,5.175171733937972e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,-1,True,154285792632.1999,1.849210701370586e-08,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,0,True,56861360355.92897,7.514465235491903e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,1,True,16352043547.181753,7.394550236056616e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,2,True,4373321365.535583,5.604652556686161e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,3,True,1046870032.7767917,5.802823604125515e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,4,True,241553047.16938716,4.758002644272671e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,5,True,53396321.74010827,5.056247573468159e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,6,True,11551331.67799931,4.83501673899458e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,7,True,2449620.688142861,8.020701702205666e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,8,True,512986.79432012886,4.563483384282433e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,9,True,106303.33011534609,4.627252277758078e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,10,True,21865.126605785877,3.9204667067783005e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,11,True,4470.397680335692,5.714134774036032e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,12,True,909.8632881553557,4.794467787888408e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,13,True,184.51753680181275,5.449616658093367e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,14,True,37.31486543293452,4.63657504022347e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,15,True,7.529311281242227,1.0897829896311173e-08,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,16,True,1.5165782057793422,5.987022880304503e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,17,True,0.3050446127602517,5.891210340981285e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,18,True,0.06127299098323704,4.454555143746348e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,19,True,0.01229768326507327,6.129437348604433e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,20,True,0.0024679693540000146,4.908448280197142e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
alpha^16,21,True,0.0004919255876490227,5.402574419794675e-09,a501bc49d213cddbc1a7637d3b0230cabc12b8c601117e240e2e8c8c26a0590d,256
